model,split,seed,mse,rmse,mae,r2
Lasso,80/20,3533734220,0.7619,0.8729,0.6122,0.4322
Elastic Net,80/20,3533734220,0.7814,0.8839,0.6226,0.4178
Polynomial,80/20,3533734220,0.5496,0.7413,0.5295,0.5905
RBF,80/20,3533734220,0.7544,0.8686,0.6677,0.4379
Fourier,80/20,3533734220,26.3892,5.137,0.537,-18.6642
OLS,80/20,2342600226,0.5413,0.7357,0.5372,0.6014
MBGD,80/20,2342600226,0.5416,0.7359,0.5373,0.6012
WLS,80/20,2342600226,0.5443,0.7377,0.5313,0.5992
Ridge,80/20,2342600226,0.7571,0.8701,0.6095,0.4425
Lasso,80/20,2342600226,0.7789,0.8826,0.6196,0.4264
Elastic Net,80/20,2342600226,0.7975,0.893,0.6301,0.4127
Polynomial,80/20,2342600226,0.5607,0.7488,0.5287,0.5871
RBF,80/20,2342600226,0.6987,0.8359,0.6371,0.4855
Fourier,80/20,2342600226,63.7031,7.9814,0.6187,-45.9112
OLS,80/20,1904449481,0.5796,0.7613,0.5431,0.5773
MBGD,80/20,1904449481,0.5795,0.7613,0.5431,0.5774
WLS,80/20,1904449481,0.6581,0.8112,0.5431,0.52
Ridge,80/20,1904449481,0.79,0.8888,0.6163,0.4239
Lasso,80/20,1904449481,0.8091,0.8995,0.6253,0.4099
Elastic Net,80/20,1904449481,0.8272,0.9095,0.6356,0.3967
Polynomial,80/20,1904449481,0.8413,0.9172,0.5399,0.3864
RBF,80/20,1904449481,0.7959,0.8921,0.6747,0.4196
Fourier,80/20,1904449481,454.0038,21.3074,0.9269,-330.1102
